NumberGroups	NumberGenes	Classification	NumberGenotypes	Sample
99526	788818	Acc-transcriptome	8	8
41679	73480	Exc-transcriptome	8	8
144180	750270	Pan-transcriptome	8	9
0	0	Hard-Core-transcriptome	8	9
0	0	Soft-Core-transcriptome	8	9
92200	659575	Acc-transcriptome	8	9
51980	90695	Exc-transcriptome	8	9
137080	668240	Pan-transcriptome	8	10
0	0	Hard-Core-transcriptome	8	10
0	0	Soft-Core-transcriptome	8	10
61219	497287	Acc-transcriptome	8	10
75861	170953	Exc-transcriptome	8	10
128251	865969	Pan-transcriptome	8	11
11256	326104	Hard-Core-transcriptome	8	11
11256	326104	Soft-Core-transcriptome	8	11
63354	454824	Acc-transcriptome	8	11
53641	85041	Exc-transcriptome	8	11
143975	857142	Pan-transcriptome	8	12
0	0	Hard-Core-transcriptome	8	12
0	0	Soft-Core-transcriptome	8	12
83438	757341	Acc-transcriptome	8	12
60537	99801	Exc-transcriptome	8	12
154026	944969	Pan-transcriptome	8	13
10753	324212	Hard-Core-transcriptome	8	13
10753	324212	Soft-Core-transcriptome	8	13
73173	498347	Acc-transcriptome	8	13
70100	122410	Exc-transcriptome	8	13
148852	898584	Pan-transcriptome	8	14
11517	287677	Hard-Core-transcriptome	8	14
11517	287677	Soft-Core-transcriptome	8	14
82020	500618	Acc-transcriptome	8	14
55315	110289	Exc-transcriptome	8	14
122416	815012	Pan-transcriptome	8	15
0	0	Hard-Core-transcriptome	8	15
0	0	Soft-Core-transcriptome	8	15
54937	663276	Acc-transcriptome	8	15
67479	151736	Exc-transcriptome	8	15
148878	872462	Pan-transcriptome	8	16
11115	302149	Hard-Core-transcriptome	8	16
11115	302149	Soft-Core-transcriptome	8	16
75566	472140	Acc-transcriptome	8	16
62197	98173	Exc-transcriptome	8	16
137157	800480	Pan-transcriptome	8	17
0	0	Hard-Core-transcriptome	8	17
0	0	Soft-Core-transcriptome	8	17
70327	657762	Acc-transcriptome	8	17
66830	142718	Exc-transcriptome	8	17
151445	833029	Pan-transcriptome	9	0
0	0	Hard-Core-transcriptome	9	0
1224	25025	Soft-Core-transcriptome	9	0
84795	672762	Acc-transcriptome	9	0
65426	135242	Exc-transcriptome	9	0
161710	1066902	Pan-transcriptome	9	1
11688	371982	Hard-Core-transcriptome	9	1
16736	484716	Soft-Core-transcriptome	9	1
75952	456472	Acc-transcriptome	9	1
69022	125714	Exc-transcriptome	9	1
148701	867267	Pan-transcriptome	9	2
0	0	Hard-Core-transcriptome	9	2
1451	33794	Soft-Core-transcriptome	9	2
80600	692169	Acc-transcriptome	9	2
66650	141304	Exc-transcriptome	9	2
156515	936127	Pan-transcriptome	9	3
0	0	Hard-Core-transcriptome	9	3
10842	306875	Soft-Core-transcriptome	9	3
78976	509100	Acc-transcriptome	9	3
66697	120152	Exc-transcriptome	9	3
139039	908960	Pan-transcriptome	9	4
0	0	Hard-Core-transcriptome	9	4
1403	32598	Soft-Core-transcriptome	9	4
91357	793307	Acc-transcriptome	9	4
46279	83055	Exc-transcriptome	9	4
145685	910262	Pan-transcriptome	9	5
0	0	Hard-Core-transcriptome	9	5
1574	35098	Soft-Core-transcriptome	9	5
97797	789869	Acc-transcriptome	9	5
46314	85295	Exc-transcriptome	9	5
140360	966232	Pan-transcriptome	9	6
0	0	Hard-Core-transcriptome	9	6
1831	45018	Soft-Core-transcriptome	9	6
89696	833590	Acc-transcriptome	9	6
48833	87624	Exc-transcriptome	9	6
159121	854102	Pan-transcriptome	9	7
0	0	Hard-Core-transcriptome	9	7
1392	30164	Soft-Core-transcriptome	9	7
78235	654180	Acc-transcriptome	9	7
79494	169758	Exc-transcriptome	9	7
122972	922919	Pan-transcriptome	9	8
0	0	Hard-Core-transcriptome	9	8
10921	339420	Soft-Core-transcriptome	9	8
66228	508530	Acc-transcriptome	9	8
45823	74969	Exc-transcriptome	9	8
131908	784364	Pan-transcriptome	9	9
0	0	Hard-Core-transcriptome	9	9
0	0	Soft-Core-transcriptome	9	9
76462	694292	Acc-transcriptome	9	9
55446	90072	Exc-transcriptome	9	9
139120	1038228	Pan-transcriptome	9	10
1302	38242	Hard-Core-transcriptome	9	10
12544	401400	Soft-Core-transcriptome	9	10
60724	489673	Acc-transcriptome	9	10
65852	147155	Exc-transcriptome	9	10
135780	924977	Pan-transcriptome	9	11
0	0	Hard-Core-transcriptome	9	11
1342	33383	Soft-Core-transcriptome	9	11
72668	754414	Acc-transcriptome	9	11
61770	137180	Exc-transcriptome	9	11
160206	1115108	Pan-transcriptome	9	12
11672	395222	Hard-Core-transcriptome	9	12
16983	518567	Soft-Core-transcriptome	9	12
73183	470795	Acc-transcriptome	9	12
70040	125746	Exc-transcriptome	9	12
131168	789852	Pan-transcriptome	9	13
0	0	Hard-Core-transcriptome	9	13
0	0	Soft-Core-transcriptome	9	13
79920	703218	Acc-transcriptome	9	13
51248	86634	Exc-transcriptome	9	13
125136	924307	Pan-transcriptome	9	14
0	0	Hard-Core-transcriptome	9	14
12047	363402	Soft-Core-transcriptome	9	14
61317	460917	Acc-transcriptome	9	14
51772	99988	Exc-transcriptome	9	14
146162	848580	Pan-transcriptome	9	15
0	0	Hard-Core-transcriptome	9	15
0	0	Soft-Core-transcriptome	9	15
72484	728978	Acc-transcriptome	9	15
73678	119602	Exc-transcriptome	9	15
141586	794382	Pan-transcriptome	9	16
0	0	Hard-Core-transcriptome	9	16
0	0	Soft-Core-transcriptome	9	16
81544	702850	Acc-transcriptome	9	16
60042	91532	Exc-transcriptome	9	16
138886	919596	Pan-transcriptome	9	17
0	0	Hard-Core-transcriptome	9	17
1461	33477	Soft-Core-transcriptome	9	17
94283	807357	Acc-transcriptome	9	17
43142	78762	Exc-transcriptome	9	17
154074	1000550	Pan-transcriptome	10	0
0	0	Hard-Core-transcriptome	10	0
1401	34860	Soft-Core-transcriptome	10	0
105059	879014	Acc-transcriptome	10	0
47614	86676	Exc-transcriptome	10	0
156218	996417	Pan-transcriptome	10	1
0	0	Hard-Core-transcriptome	10	1
0	0	Soft-Core-transcriptome	10	1
80042	866804	Acc-transcriptome	10	1
76176	129613	Exc-transcriptome	10	1
132666	1044851	Pan-transcriptome	10	2
0	0	Hard-Core-transcriptome	10	2
11368	397875	Soft-Core-transcriptome	10	2
69378	555731	Acc-transcriptome	10	2
51920	91245	Exc-transcriptome	10	2
147042	1049105	Pan-transcriptome	10	3
0	0	Hard-Core-transcriptome	10	3
1459	39804	Soft-Core-transcriptome	10	3
101408	933190	Acc-transcriptome	10	3
44175	76111	Exc-transcriptome	10	3
147797	1127315	Pan-transcriptome	10	4
1211	37423	Hard-Core-transcriptome	10	4
12080	412975	Soft-Core-transcriptome	10	4
69590	559152	Acc-transcriptome	10	4
66127	155188	Exc-transcriptome	10	4
162505	1134527	Pan-transcriptome	10	5
10363	373647	Hard-Core-transcriptome	10	5
14508	478715	Soft-Core-transcriptome	10	5
85139	542869	Acc-transcriptome	10	5
62858	112943	Exc-transcriptome	10	5
143658	900663	Pan-transcriptome	10	6
0	0	Hard-Core-transcriptome	10	6
0	0	Soft-Core-transcriptome	10	6
71208	736214	Acc-transcriptome	10	6
72450	164449	Exc-transcriptome	10	6
120254	921431	Pan-transcriptome	10	7
0	0	Hard-Core-transcriptome	10	7
0	0	Soft-Core-transcriptome	10	7
77393	845975	Acc-transcriptome	10	7
42861	75456	Exc-transcriptome	10	7
155147	1029868	Pan-transcriptome	10	8
0	0	Hard-Core-transcriptome	10	8
10775	335315	Soft-Core-transcriptome	10	8
86992	601654	Acc-transcriptome	10	8
57380	92899	Exc-transcriptome	10	8
154615	1051148	Pan-transcriptome	10	9
0	0	Hard-Core-transcriptome	10	9
11085	351654	Soft-Core-transcriptome	10	9
86485	605310	Acc-transcriptome	10	9
57045	94184	Exc-transcriptome	10	9
144334	887228	Pan-transcriptome	10	10
0	0	Hard-Core-transcriptome	10	10
0	0	Soft-Core-transcriptome	10	10
86637	763118	Acc-transcriptome	10	10
57697	124110	Exc-transcriptome	10	10
164943	1062275	Pan-transcriptome	10	11
0	0	Hard-Core-transcriptome	10	11
11971	360913	Soft-Core-transcriptome	10	11
85479	577866	Acc-transcriptome	10	11
67493	123496	Exc-transcriptome	10	11
159152	1092046	Pan-transcriptome	10	12
1179	30779	Hard-Core-transcriptome	10	12
11032	319833	Soft-Core-transcriptome	10	12
110416	697504	Acc-transcriptome	10	12
37704	74709	Exc-transcriptome	10	12
148541	920850	Pan-transcriptome	10	13
0	0	Hard-Core-transcriptome	10	13
0	0	Soft-Core-transcriptome	10	13
78565	811153	Acc-transcriptome	10	13
69976	109697	Exc-transcriptome	10	13
152790	863619	Pan-transcriptome	10	14
0	0	Hard-Core-transcriptome	10	14
0	0	Soft-Core-transcriptome	10	14
83380	709212	Acc-transcriptome	10	14
69410	154407	Exc-transcriptome	10	14
147833	1119544	Pan-transcriptome	10	15
1247	37034	Hard-Core-transcriptome	10	15
11651	382914	Soft-Core-transcriptome	10	15
99754	672083	Acc-transcriptome	10	15
36428	64547	Exc-transcriptome	10	15
165190	1213079	Pan-transcriptome	10	16
11156	422329	Hard-Core-transcriptome	10	16
15762	545539	Soft-Core-transcriptome	10	16
80627	539976	Acc-transcriptome	10	16
68801	127564	Exc-transcriptome	10	16
160918	1141415	Pan-transcriptome	10	17
1201	34099	Hard-Core-transcriptome	10	17
11441	359667	Soft-Core-transcriptome	10	17
100352	681358	Acc-transcriptome	10	17
49125	100390	Exc-transcriptome	10	17
127947	1148312	Pan-transcriptome	11	0
0	0	Hard-Core-transcriptome	11	0
11030	405582	Soft-Core-transcriptome	11	0
81833	677175	Acc-transcriptome	11	0
35084	65555	Exc-transcriptome	11	0
155411	1144385	Pan-transcriptome	11	1
0	0	Hard-Core-transcriptome	11	1
1428	43322	Soft-Core-transcriptome	11	1
104335	1001499	Acc-transcriptome	11	1
49648	99564	Exc-transcriptome	11	1
154838	1151019	Pan-transcriptome	11	2
0	0	Hard-Core-transcriptome	11	2
10774	397699	Soft-Core-transcriptome	11	2
83330	655229	Acc-transcriptome	11	2
60734	98091	Exc-transcriptome	11	2
144907	1166331	Pan-transcriptome	11	3
0	0	Hard-Core-transcriptome	11	3
11576	435005	Soft-Core-transcriptome	11	3
79228	625388	Acc-transcriptome	11	3
54103	105938	Exc-transcriptome	11	3
167411	1158560	Pan-transcriptome	11	4
0	0	Hard-Core-transcriptome	11	4
10720	364407	Soft-Core-transcriptome	11	4
95561	680286	Acc-transcriptome	11	4
61130	113867	Exc-transcriptome	11	4
150453	1000869	Pan-transcriptome	11	5
0	0	Hard-Core-transcriptome	11	5
0	0	Soft-Core-transcriptome	11	5
74295	824541	Acc-transcriptome	11	5
76158	176328	Exc-transcriptome	11	5
157725	1124377	Pan-transcriptome	11	6
0	0	Hard-Core-transcriptome	11	6
1259	37507	Soft-Core-transcriptome	11	6
111058	995324	Acc-transcriptome	11	6
45408	91546	Exc-transcriptome	11	6
164162	1148533	Pan-transcriptome	11	7
0	0	Hard-Core-transcriptome	11	7
9962	359953	Soft-Core-transcriptome	11	7
90454	670956	Acc-transcriptome	11	7
63746	117624	Exc-transcriptome	11	7
151786	1029445	Pan-transcriptome	11	8
0	0	Hard-Core-transcriptome	11	8
0	0	Soft-Core-transcriptome	11	8
89842	909835	Acc-transcriptome	11	8
61944	119610	Exc-transcriptome	11	8
141785	1038010	Pan-transcriptome	11	9
0	0	Hard-Core-transcriptome	11	9
0	0	Soft-Core-transcriptome	11	9
95597	956185	Acc-transcriptome	11	9
46188	81825	Exc-transcriptome	11	9
165550	1155423	Pan-transcriptome	11	10
0	0	Hard-Core-transcriptome	11	10
1224	35810	Soft-Core-transcriptome	11	10
99143	966756	Acc-transcriptome	11	10
65183	152857	Exc-transcriptome	11	10
161956	1264878	Pan-transcriptome	11	11
1144	38746	Hard-Core-transcriptome	11	11
10693	404724	Soft-Core-transcriptome	11	11
102353	758627	Acc-transcriptome	11	11
48910	101527	Exc-transcriptome	11	11
159016	1251500	Pan-transcriptome	11	12
1137	37380	Hard-Core-transcriptome	11	12
11393	412682	Soft-Core-transcriptome	11	12
84946	685036	Acc-transcriptome	11	12
62677	153782	Exc-transcriptome	11	12
143224	987688	Pan-transcriptome	11	13
0	0	Hard-Core-transcriptome	11	13
0	0	Soft-Core-transcriptome	11	13
83476	879208	Acc-transcriptome	11	13
59748	108480	Exc-transcriptome	11	13
145583	1187018	Pan-transcriptome	11	14
0	0	Hard-Core-transcriptome	11	14
10982	411583	Soft-Core-transcriptome	11	14
80289	669111	Acc-transcriptome	11	14
54312	106324	Exc-transcriptome	11	14
166182	1258892	Pan-transcriptome	11	15
10298	405520	Hard-Core-transcriptome	11	15
14390	521602	Soft-Core-transcriptome	11	15
93636	627244	Acc-transcriptome	11	15
58156	110046	Exc-transcriptome	11	15
158399	1105217	Pan-transcriptome	11	16
0	0	Hard-Core-transcriptome	11	16
1220	34658	Soft-Core-transcriptome	11	16
111678	978048	Acc-transcriptome	11	16
45501	92511	Exc-transcriptome	11	16
152474	1150201	Pan-transcriptome	11	17
0	0	Hard-Core-transcriptome	11	17
1290	36582	Soft-Core-transcriptome	11	17
118739	1047774	Acc-transcriptome	11	17
32445	65845	Exc-transcriptome	11	17
156362	1286198	Pan-transcriptome	12	0
0	0	Hard-Core-transcriptome	12	0
10688	455760	Soft-Core-transcriptome	12	0
80030	725995	Acc-transcriptome	12	0
65644	104443	Exc-transcriptome	12	0
165077	1179038	Pan-transcriptome	12	1
0	0	Hard-Core-transcriptome	12	1
0	0	Soft-Core-transcriptome	12	1
114647	1072102	Acc-transcriptome	12	1
50430	106936	Exc-transcriptome	12	1
162650	1301101	Pan-transcriptome	12	2
0	0	Hard-Core-transcriptome	12	2
10660	434236	Soft-Core-transcriptome	12	2
92740	757868	Acc-transcriptome	12	2
59250	108997	Exc-transcriptome	12	2
149836	1155618	Pan-transcriptome	12	3
0	0	Hard-Core-transcriptome	12	3
0	0	Soft-Core-transcriptome	12	3
85211	1007774	Acc-transcriptome	12	3
64625	147844	Exc-transcriptome	12	3
153053	1134941	Pan-transcriptome	12	4
0	0	Hard-Core-transcriptome	12	4
0	0	Soft-Core-transcriptome	12	4
106611	1048678	Acc-transcriptome	12	4
46442	86263	Exc-transcriptome	12	4
169213	1407557	Pan-transcriptome	12	5
1171	41371	Hard-Core-transcriptome	12	5
10960	427932	Soft-Core-transcriptome	12	5
120761	889560	Acc-transcriptome	12	5
37492	90065	Exc-transcriptome	12	5
161151	1243610	Pan-transcriptome	12	6
0	0	Hard-Core-transcriptome	12	6
1256	40600	Soft-Core-transcriptome	12	6
121877	1120511	Acc-transcriptome	12	6
38018	82499	Exc-transcriptome	12	6
158947	1116546	Pan-transcriptome	12	7
0	0	Hard-Core-transcriptome	12	7
0	0	Soft-Core-transcriptome	12	7
83132	942146	Acc-transcriptome	12	7
75815	174400	Exc-transcriptome	12	7
136894	1389017	Pan-transcriptome	12	8
10538	485042	Hard-Core-transcriptome	12	8
14361	614443	Soft-Core-transcriptome	12	8
84843	693042	Acc-transcriptome	12	8
37690	81532	Exc-transcriptome	12	8
166279	1217479	Pan-transcriptome	12	9
0	0	Hard-Core-transcriptome	12	9
1200	40012	Soft-Core-transcriptome	12	9
98058	1024111	Acc-transcriptome	12	9
67021	153356	Exc-transcriptome	12	9
155743	1201623	Pan-transcriptome	12	10
0	0	Hard-Core-transcriptome	12	10
0	0	Soft-Core-transcriptome	12	10
93723	1098546	Acc-transcriptome	12	10
62020	103077	Exc-transcriptome	12	10
144802	1251419	Pan-transcriptome	12	11
0	0	Hard-Core-transcriptome	12	11
10263	426711	Soft-Core-transcriptome	12	11
91046	741549	Acc-transcriptome	12	11
43493	83159	Exc-transcriptome	12	11
155605	1157899	Pan-transcriptome	12	12
0	0	Hard-Core-transcriptome	12	12
0	0	Soft-Core-transcriptome	12	12
118078	1081027	Acc-transcriptome	12	12
37527	76872	Exc-transcriptome	12	12
166609	1370334	Pan-transcriptome	12	13
1148	39800	Hard-Core-transcriptome	12	13
10824	419100	Soft-Core-transcriptome	12	13
117516	867125	Acc-transcriptome	12	13
38269	84109	Exc-transcriptome	12	13
158940	1152242	Pan-transcriptome	12	14
0	0	Hard-Core-transcriptome	12	14
0	0	Soft-Core-transcriptome	12	14
96645	1041783	Acc-transcriptome	12	14
62295	110459	Exc-transcriptome	12	14
165047	1315823	Pan-transcriptome	12	15
0	0	Hard-Core-transcriptome	12	15
10583	442972	Soft-Core-transcriptome	12	15
94286	761602	Acc-transcriptome	12	15
60178	111249	Exc-transcriptome	12	15
159424	1252944	Pan-transcriptome	12	16
0	0	Hard-Core-transcriptome	12	16
1146	39601	Soft-Core-transcriptome	12	16
95083	1068916	Acc-transcriptome	12	16
63195	144427	Exc-transcriptome	12	16
150075	1315788	Pan-transcriptome	12	17
0	0	Hard-Core-transcriptome	12	17
10420	452526	Soft-Core-transcriptome	12	17
84142	752044	Acc-transcriptome	12	17
55513	111218	Exc-transcriptome	12	17
172136	1476495	Pan-transcriptome	13	0
1155	44013	Hard-Core-transcriptome	13	0
10588	452387	Soft-Core-transcriptome	13	0
122700	931478	Acc-transcriptome	13	0
38848	92630	Exc-transcriptome	13	0
170008	1337794	Pan-transcriptome	13	1
0	0	Hard-Core-transcriptome	13	1
1136	40684	Soft-Core-transcriptome	13	1
111507	1152332	Acc-transcriptome	13	1
57365	144778	Exc-transcriptome	13	1
164964	1310336	Pan-transcriptome	13	2
0	0	Hard-Core-transcriptome	13	2
0	0	Soft-Core-transcriptome	13	2
100060	1190378	Acc-transcriptome	13	2
64904	119958	Exc-transcriptome	13	2
160499	1334905	Pan-transcriptome	13	3
0	0	Hard-Core-transcriptome	13	3
1249	44340	Soft-Core-transcriptome	13	3
127307	1223052	Acc-transcriptome	13	3
31943	67513	Exc-transcriptome	13	3
167176	1268211	Pan-transcriptome	13	4
0	0	Hard-Core-transcriptome	13	4
0	0	Soft-Core-transcriptome	13	4
111907	1161055	Acc-transcriptome	13	4
55269	107156	Exc-transcriptome	13	4
153041	1227971	Pan-transcriptome	13	5
0	0	Hard-Core-transcriptome	13	5
0	0	Soft-Core-transcriptome	13	5
90559	1083976	Acc-transcriptome	13	5
62482	143995	Exc-transcriptome	13	5
170388	1520884	Pan-transcriptome	13	6
1228	50788	Hard-Core-transcriptome	13	6
11052	499401	Soft-Core-transcriptome	13	6
113615	918804	Acc-transcriptome	13	6
45721	102679	Exc-transcriptome	13	6
164537	1363728	Pan-transcriptome	13	7
0	0	Hard-Core-transcriptome	13	7
1246	45266	Soft-Core-transcriptome	13	7
123349	1232271	Acc-transcriptome	13	7
39942	86191	Exc-transcriptome	13	7
162922	1355084	Pan-transcriptome	13	8
0	0	Hard-Core-transcriptome	13	8
1172	40204	Soft-Core-transcriptome	13	8
127112	1242208	Acc-transcriptome	13	8
34638	72672	Exc-transcriptome	13	8
167211	1343679	Pan-transcriptome	13	9
0	0	Hard-Core-transcriptome	13	9
1123	39256	Soft-Core-transcriptome	13	9
128165	1217394	Acc-transcriptome	13	9
37923	87029	Exc-transcriptome	13	9
169133	1316329	Pan-transcriptome	13	10
0	0	Hard-Core-transcriptome	13	10
1114	39474	Soft-Core-transcriptome	13	10
107923	1131697	Acc-transcriptome	13	10
60096	145158	Exc-transcriptome	13	10
152439	1385066	Pan-transcriptome	13	11
0	0	Hard-Core-transcriptome	13	11
1130	43340	Soft-Core-transcriptome	13	11
114868	1271618	Acc-transcriptome	13	11
36441	70108	Exc-transcriptome	13	11
165321	1396517	Pan-transcriptome	13	12
0	0	Hard-Core-transcriptome	13	12
1111	43098	Soft-Core-transcriptome	13	12
101360	1205367	Acc-transcriptome	13	12
62850	148052	Exc-transcriptome	13	12
165577	1396829	Pan-transcriptome	13	13
0	0	Hard-Core-transcriptome	13	13
10459	445789	Soft-Core-transcriptome	13	13
107701	861200	Acc-transcriptome	13	13
47417	89840	Exc-transcriptome	13	13
153108	1278108	Pan-transcriptome	13	14
0	0	Hard-Core-transcriptome	13	14
0	0	Soft-Core-transcriptome	13	14
110789	1184092	Acc-transcriptome	13	14
42319	94016	Exc-transcriptome	13	14
163029	1246718	Pan-transcriptome	13	15
0	0	Hard-Core-transcriptome	13	15
0	0	Soft-Core-transcriptome	13	15
125899	1169241	Acc-transcriptome	13	15
37130	77477	Exc-transcriptome	13	15
169373	1524175	Pan-transcriptome	13	16
9951	492674	Hard-Core-transcriptome	13	16
13733	629749	Soft-Core-transcriptome	13	16
94676	779715	Acc-transcriptome	13	16
60964	114711	Exc-transcriptome	13	16
156133	1221766	Pan-transcriptome	13	17
0	0	Hard-Core-transcriptome	13	17
0	0	Soft-Core-transcriptome	13	17
113644	1141892	Acc-transcriptome	13	17
42489	79874	Exc-transcriptome	13	17
169058	1511732	Pan-transcriptome	14	0
0	0	Hard-Core-transcriptome	14	0
1190	46612	Soft-Core-transcriptome	14	0
127569	1373543	Acc-transcriptome	14	0
40299	91577	Exc-transcriptome	14	0
167083	1485118	Pan-transcriptome	14	1
0	0	Hard-Core-transcriptome	14	1
1164	46943	Soft-Core-transcriptome	14	1
130352	1355101	Acc-transcriptome	14	1
35567	83074	Exc-transcriptome	14	1
171990	1585187	Pan-transcriptome	14	2
1058	45315	Hard-Core-transcriptome	14	2
10013	478470	Soft-Core-transcriptome	14	2
128168	1021370	Acc-transcriptome	14	2
33809	85347	Exc-transcriptome	14	2
161462	1468605	Pan-transcriptome	14	3
0	0	Hard-Core-transcriptome	14	3
1210	48423	Soft-Core-transcriptome	14	3
128402	1352321	Acc-transcriptome	14	3
31850	67861	Exc-transcriptome	14	3
160472	1485081	Pan-transcriptome	14	4
0	0	Hard-Core-transcriptome	14	4
1094	44489	Soft-Core-transcriptome	14	4
121841	1359611	Acc-transcriptome	14	4
37537	80981	Exc-transcriptome	14	4
168352	1366527	Pan-transcriptome	14	5
0	0	Hard-Core-transcriptome	14	5
0	0	Soft-Core-transcriptome	14	5
104563	1213380	Acc-transcriptome	14	5
63789	153147	Exc-transcriptome	14	5
161364	1367256	Pan-transcriptome	14	6
0	0	Hard-Core-transcriptome	14	6
0	0	Soft-Core-transcriptome	14	6
117678	1277195	Acc-transcriptome	14	6
43686	90061	Exc-transcriptome	14	6
171231	1508296	Pan-transcriptome	14	7
0	0	Hard-Core-transcriptome	14	7
1135	43343	Soft-Core-transcriptome	14	7
134731	1376251	Acc-transcriptome	14	7
35365	88702	Exc-transcriptome	14	7
156617	1359974	Pan-transcriptome	14	8
0	0	Hard-Core-transcriptome	14	8
0	0	Soft-Core-transcriptome	14	8
118408	1286138	Acc-transcriptome	14	8
38209	73836	Exc-transcriptome	14	8
172909	1353363	Pan-transcriptome	14	9
0	0	Hard-Core-transcriptome	14	9
0	0	Soft-Core-transcriptome	14	9
116682	1208624	Acc-transcriptome	14	9
56227	144739	Exc-transcriptome	14	9
171886	1496376	Pan-transcriptome	14	10
0	0	Hard-Core-transcriptome	14	10
1118	42033	Soft-Core-transcriptome	14	10
140195	1372916	Acc-transcriptome	14	10
30573	81427	Exc-transcriptome	14	10
169372	1418170	Pan-transcriptome	14	11
0	0	Hard-Core-transcriptome	14	11
0	0	Soft-Core-transcriptome	14	11
128641	1323454	Acc-transcriptome	14	11
40731	94716	Exc-transcriptome	14	11
162048	1397155	Pan-transcriptome	14	12
0	0	Hard-Core-transcriptome	14	12
0	0	Soft-Core-transcriptome	14	12
118697	1308963	Acc-transcriptome	14	12
43351	88192	Exc-transcriptome	14	12
155780	1363970	Pan-transcriptome	14	13
0	0	Hard-Core-transcriptome	14	13
0	0	Soft-Core-transcriptome	14	13
119285	1294237	Acc-transcriptome	14	13
36495	69733	Exc-transcriptome	14	13
165688	1351910	Pan-transcriptome	14	14
0	0	Hard-Core-transcriptome	14	14
0	0	Soft-Core-transcriptome	14	14
129788	1268994	Acc-transcriptome	14	14
35900	82916	Exc-transcriptome	14	14
157904	1351718	Pan-transcriptome	14	15
0	0	Hard-Core-transcriptome	14	15
0	0	Soft-Core-transcriptome	14	15
125392	1285174	Acc-transcriptome	14	15
32512	66544	Exc-transcriptome	14	15
169486	1528229	Pan-transcriptome	14	16
0	0	Hard-Core-transcriptome	14	16
9957	494826	Soft-Core-transcriptome	14	16
103907	926313	Acc-transcriptome	14	16
55622	107090	Exc-transcriptome	14	16
160144	1365285	Pan-transcriptome	14	17
0	0	Hard-Core-transcriptome	14	17
0	0	Soft-Core-transcriptome	14	17
97828	1212802	Acc-transcriptome	14	17
62316	152483	Exc-transcriptome	14	17
169665	1634556	Pan-transcriptome	15	0
0	0	Hard-Core-transcriptome	15	0
1121	50168	Soft-Core-transcriptome	15	0
132136	1499470	Acc-transcriptome	15	0
36408	84918	Exc-transcriptome	15	0
165687	1570426	Pan-transcriptome	15	1
0	0	Hard-Core-transcriptome	15	1
1096	47003	Soft-Core-transcriptome	15	1
136093	1456163	Acc-transcriptome	15	1
28498	67260	Exc-transcriptome	15	1
168153	1469817	Pan-transcriptome	15	2
0	0	Hard-Core-transcriptome	15	2
0	0	Soft-Core-transcriptome	15	2
107679	1323882	Acc-transcriptome	15	2
60474	145935	Exc-transcriptome	15	2
171012	1646868	Pan-transcriptome	15	3
0	0	Hard-Core-transcriptome	15	3
9836	529772	Soft-Core-transcriptome	15	3
108687	1012690	Acc-transcriptome	15	3
52489	104406	Exc-transcriptome	15	3
165641	1456515	Pan-transcriptome	15	4
0	0	Hard-Core-transcriptome	15	4
0	0	Soft-Core-transcriptome	15	4
131807	1382017	Acc-transcriptome	15	4
33834	74498	Exc-transcriptome	15	4
168352	1490338	Pan-transcriptome	15	5
0	0	Hard-Core-transcriptome	15	5
0	0	Soft-Core-transcriptome	15	5
130951	1403706	Acc-transcriptome	15	5
37401	86632	Exc-transcriptome	15	5
171478	1468929	Pan-transcriptome	15	6
0	0	Hard-Core-transcriptome	15	6
0	0	Soft-Core-transcriptome	15	6
129299	1372659	Acc-transcriptome	15	6
42179	96270	Exc-transcriptome	15	6
169996	1614983	Pan-transcriptome	15	7
0	0	Hard-Core-transcriptome	15	7
1143	50120	Soft-Core-transcriptome	15	7
126818	1469775	Acc-transcriptome	15	7
42035	95088	Exc-transcriptome	15	7
167204	1500935	Pan-transcriptome	15	8
0	0	Hard-Core-transcriptome	15	8
0	0	Soft-Core-transcriptome	15	8
127308	1411483	Acc-transcriptome	15	8
39896	89452	Exc-transcriptome	15	8
172187	1478842	Pan-transcriptome	15	9
0	0	Hard-Core-transcriptome	15	9
0	0	Soft-Core-transcriptome	15	9
136983	1390786	Acc-transcriptome	15	9
35204	88056	Exc-transcriptome	15	9
169665	1634556	Pan-transcriptome	15	10
0	0	Hard-Core-transcriptome	15	10
1121	50168	Soft-Core-transcriptome	15	10
132136	1499470	Acc-transcriptome	15	10
36408	84918	Exc-transcriptome	15	10
171141	1627990	Pan-transcriptome	15	11
0	0	Hard-Core-transcriptome	15	11
1105	47208	Soft-Core-transcriptome	15	11
135786	1497627	Acc-transcriptome	15	11
34250	83155	Exc-transcriptome	15	11
167726	1474408	Pan-transcriptome	15	12
0	0	Hard-Core-transcriptome	15	12
0	0	Soft-Core-transcriptome	15	12
111871	1335751	Acc-transcriptome	15	12
55855	138657	Exc-transcriptome	15	12
162916	1496833	Pan-transcriptome	15	13
0	0	Hard-Core-transcriptome	15	13
0	0	Soft-Core-transcriptome	15	13
123045	1410272	Acc-transcriptome	15	13
39871	86561	Exc-transcriptome	15	13
173704	1483204	Pan-transcriptome	15	14
0	0	Hard-Core-transcriptome	15	14
0	0	Soft-Core-transcriptome	15	14
140644	1396821	Acc-transcriptome	15	14
33060	86383	Exc-transcriptome	15	14
168800	1604249	Pan-transcriptome	15	15
0	0	Hard-Core-transcriptome	15	15
1062	45586	Soft-Core-transcriptome	15	15
134987	1478218	Acc-transcriptome	15	15
